File,prediction,class
BPAI-F-LPR-1-4-OUT_11_26_2024_05-57-48_1087.jpg,bus,4
BPAI-F-LPR-1-4-OUT_11_26_2024_05-57-48_1511.jpg,bus,4
BPAI-F-LPR-1-4-OUT_11_26_2024_05-57-48_1529.jpg,"motorcycle, tuk tuk",0
BPAI-F-LPR-1-4-OUT_11_26_2024_05-57-48_1539.jpg,2-row car,3
BPAI-F-LPR-1-4-OUT_11_26_2024_05-57-48_1657.jpg,"motorcycle, tuk tuk",0
BPAI-F-LPR-1-4-OUT_11_26_2024_05-57-48_195.jpg,"motorcycle, tuk tuk",0
BPAI-F-LPR-1-4-OUT_11_26_2024_05-57-48_201.jpg,"motorcycle, tuk tuk",0
BPAI-F-LPR-1-4-OUT_11_26_2024_05-57-48_24.jpg,"SUV, van, ambulance (more than 7 seats)",2
BPAI-F-LPR-1-4-OUT_11_26_2024_05-57-48_4382.jpg,bus,4
BPAI-F-LPR-1-4-OUT_11_26_2024_05-57-48_446.jpg,"motorcycle, tuk tuk",0
BPAI-F-LPR-1-4-OUT_11_26_2024_05-57-48_456.jpg,"motorcycle, tuk tuk",0
BPAI-F-LPR-1-4-OUT_11_26_2024_05-57-48_461.jpg,"motorcycle, tuk tuk",0
BPAI-F-LPR-1-4-OUT_11_26_2024_05-57-48_655.jpg,bus,4
BPAI-F-LPR-1-4-OUT_11_26_2024_05-57-48_680.jpg,bus,4
BPAI-F-LPR-1-4-OUT_11_26_2024_05-57-48_727.jpg,"motorcycle, tuk tuk",0
BPAI-F-LPR-1-4-OUT_11_26_2024_05-57-48_748.jpg,"motorcycle, tuk tuk",0
BPAI-F-LPR-1-4-OUT_11_26_2024_05-57-48_882.jpg,"motorcycle, tuk tuk",0
BPAI-F-LPR-2-2-OUT_11_25_2024_16-38-20_1200.jpg,"motorcycle, tuk tuk",0
BPAI-F-LPR-2-2-OUT_11_25_2024_16-38-20_2.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
BPAI-F-LPR-2-2-OUT_11_25_2024_16-38-20_388.jpg,"motorcycle, tuk tuk",0
BPAI-F-LPR-2-2-OUT_11_25_2024_16-38-20_469.jpg,"motorcycle, tuk tuk",0
BPAI-F-LPR-2-2-OUT_11_25_2024_16-38-20_601.jpg,"motorcycle, tuk tuk",0
BPAI-F-LPR-2-2-OUT_11_25_2024_16-38-20_610.jpg,"motorcycle, tuk tuk",0
